KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
GrowingPotWood,Hydroponics Unit (Wood),Hydroponik-Einheit (Holz),Plot horticole (bois),Terreno da Coltivazione (Legno),Parcela de cultivo (madera),Terreno Emergente (Madeira),Terra Arada (Madeira),Działka ogrodnicza (drewno),Блок гидропоники (дерево),農地(木材),植物生长箱 (木制),植物培養槽（木材）,성장 대지(목재),,,Groeiplaats (Hout),Ô đất trồng (bằng gỗ)
HullArmoredLargeBlocks,Hardened Steel Blocks (Large),Gehärtete Stahlblöcke L,Blocs acier blindé L,Blocchi di Acciaio Rinforzato L,Bloques de acero endurecido L,Blocos de Aço Temperado L,Bloco de Aço Reforçado G,,Блоки из закаленной стали (большие),硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,,,Gehard staal blokken L,Khối thép cứng L
HullArmoredSmallBlocks,Hardened Steel Blocks (Small),Gehärtete Stahlblöcke S,Blocs acier blindé S,Blocchi di Acciaio Rinforzato S,Bloques de acero endurecido S,Blocos de Aço Temperado S,Blocos de Aço Reforçado P,,Блоки из закаленной стали (маленькие),硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,,,Gehard staal blokken S,Khối thép cứng S
HullArmoredFullLarge,Hardened Steel Block (Large),Gehärteter Stahlblock L,Bloc acier blindé L,Blocco di Acciaio Rinforzato L,Bloque de acero endurecido L,Bloco de Aço Temperado L,Bloco de Aço Reforçado G,Blok ze stali hartowanej L,Блок из закаленной стали (большой),硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,,,Gehard staal blok L,Thép tôi cứng L
HullArmoredFullSmall,Hardened Steel Block (Small),Gehärteter Stahlblock S,Bloc acier blindé S,Blocco di Acciaio Rinforzato S,Bloque de acero endurecido S,Bloco de Aço Temperado S,Bloco de Aço Reforçado P,Blok ze stali hartowanej S,Блок из закаленной стали (маленький),硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,,,Gehard staal blok S,Khối thép cứng S
HullArmoredThinLarge,Hardened Steel Block (Large),Gehärteter Stahlblock L,Bloc acier blindé L,Blocco di Acciaio Rinforzato L ,Bloque de acero endurecido L,Bloco de Aço Temperado L,,Blok ze stali hartowanej L,Блок из закаленной стали (большой),硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,,,Gehard staal blok L,Thép tôi cứng L
HullArmoredThinLargeBlocks,Hardened Steel Thin Blocks (Large),Gehärtete Stahlblöcke L (dünn),Blocs acier blindé L (fin),Blocchi di Acciaio Rinforzato L (Sottile),Bloques de acero endurecido L (delgado),Blocos de Aço Temperado L (fino),Bloco de Aço Reforçado G (fino),"Bloki stalowe, hartowane, płaskie L (grupa)",Тонкие блоки из закаленной стали (большие),硬化スチールL (薄型),加固钢制方块 L (薄型),硬化鋼大方塊（薄）,경화 강철 블록 L(얇음),,,Gehard staal blokken L (Smal),Khối thép cứng L (mỏng)
HullArmoredThinSmall,Hardened Steel Block (Small),Gehärteter Stahlblock S,Bloc acier blindé S,Blocco di Acciaio Rinforzato S,Bloque de acero endurecido S,Bloco de Aço Temperado S,,Blok ze stali hartowanej S,Блок из закаленной стали (маленький),硬化スチールL,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,,,Gehard staal blok S,Khối thép cứng S
HullArmoredThinSmallBlocks,Hardened Steel Thin Blocks (Small),Gehärtete Stahlblöcke S (dünn),Blocs acier blindé S (fin),Blocchi di Acciaio Rinforzato S (Sottile),Bloques de acero endurecido S (delgado),Blocos de Aço Temperado S (fino),Blocos de Aço Reforçado P (fino),"Bloki stalowe, hartowane, płaskie S (grupa)",Тонкие блоки из закаленной стали (маленькие),硬化スチールS (薄型),加固钢制方块 S (薄型),硬化鋼小方塊（薄）,경화 강철 블록 S(얇음),,,Gehard staal blokken S (Smal),Khối thép cứng S (mỏng)
HullCombatFullLarge,Combat Steel Block (Large),Gefechts-Stahlblock L,Bloc acier militaire L,Blocco di Acciaio da Combattimento L,Bloque de acero de combate L,Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Боевой стальной блок (большой),戦闘用スチールL,战术钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,,,Gewapend staal blok L,Khối thép chiến đấu L
HullCombatLargeBlocks,Combat Steel Blocks (Large),Gefechts-Stahlblöcke L,Blocs acier militaire L,Blocchi di Acciaio da Combattimento L,Bloques de acero de combate L,Blocos de Aço Combate L,Blocos de Aço de Combate G,,Боевые стальные блоки (большие),戦闘用スチールL,战术钢制方块组 L,戰鬥鋼大方塊,전투용 강철 블록 L,,,Gewapend staal blokken L,Khối thép chiến đấu L
HullCombatThinLarge,Combat Steel Block (Large),Gefechts-Stahlblock L,Bloc acier militaire L,Blocco di Acciaio da Combattimento L,Bloque de acero de combate L,Bloco de Aço Combate L,Bloco de Aço de Combate G,Blok ze stali bojowej L,Боевой стальной блок (большой),戦闘用スチールL,战术钢制方块 L,戰鬥鋼大方塊,전투용 강철 블록 L,,,Gewapend staal blok L,Khối thép chiến đấu L
HullCombatThinLargeBlocks,Combat Steel Thin Blocks (Large),Gefechts-Stahlblöcke L (dünn),Blocs acier militaire L(fin),Blocchi di Acciaio da Combattimento L (Sottile),Bloque de acero de combate L (delgado),Blocos de Aço Combate L (fino),Bloco de Aço de Combate G (fino),"Blok ze stali bojowej, płaskie L (grupa)",Боевые стальные тонкие блоки (большие),戦闘用スチールL (薄型),,戰鬥鋼大方塊（薄）,전투용 강철 블록 L(얇음),,,Gewapend staal blokken L (Smal),Khối thép chiến đấu L (mỏng)
HullCombatSmallBlocks,Combat Steel Blocks (Small),Gefechts-Stahlblöcke S,Blocs de combat acier S,Blocchi Acciaio da Combattimento S,Bloques de Acero de Combate S,,Blocos de Aço de Combate S,"Bloki stalowe, pancerne S (grupa)",Боевые стальные блоки (маленькие),戦闘用スチールS,战术钢制方块组 S,戰術鋼製方塊組 S,,,Ατσάλινα Μπλοκ Μάχης S,Gevechtsstalen blokken S,Khối thép chiến đấu S
HullCombatFullSmall,Combat Steel Block (Small),Gefechts-Stahlblock S,Bloc de combat acier S,Blocchi Acciaio da Combattimento S,Bloque de Acero de Combate S,,Bloco de Aço de Combate S,,Боевой стальной блок (маленький),戦闘用スチールS,战术钢制方块 S,戰術鋼製方塊 S,,,Ατσάλινο Μπλοκ Μάχης S,Gevechtsstalen blokken S,Khối thép chiến đấu S
HullCombatThinSmall,Combat Steel Thin Block (Small),Gefechts-Stahlblock S (dünn),Blocs de combat acier S (fin),Blocchi Acciaio da Combattimento S (fino),Bloque de Acero de Combate S (fino),,Bloco de Aço de Combate S (fino),,Боевой стальной тонкий блок (маленький),戦闘用スチールS(薄型),战术钢制方块 S （薄型）,戰術鋼製方塊 S （薄型）,,,Ατσάλινο Μπλοκ Μάχης S (λεπτό),Gevechtsstalen blokken S (smal),Khối thép chiến đấu S (mỏng)
PlasticSmallBlocks,Carbon Fiber Blocks (Small),Kohlenstoffverbund-Blöcke S,Blocs composite de carbone S,Blocchi di Carbonio Composito S,Bloques compuestos de carbono S,,Blocos de Compostos de Carbono S,,Блоки из углеродного волокна (маленькие),カーボンS,碳复合材料组 S,碳複合材料組 S,,,Μπλοκ Συνθετικού Άνθρακα S,,Khối tổng hợp carbon S
PlasticLargeBlocks,Carbon Fiber Blocks (Large),Kohlenstoffverbund-Blöcke L,Blocs composite de carbone L,Blocchi di Carbonio Composito L,Bloques compuestos de carbono L,,Blocos de Compostos de Carbono L,Bloki z włókien węglowych L,Блоки из углеродного волокна (большие),カーボンL,碳复合材料组 L,碳複合材料組 L,,,Μπλοκ Συνθετικού Άνθρακα L,,Khối tổng hợp carbon L
PlasticFullLarge,Carbon Fiber Block (Large),Kohlenstoffverbund-Block L,Bloc composite de carbone L,Blocco di Carbonio Composito L,Bloque compuesto de carbono L,,Blocos de Compostos de Carbono L,,Блок углеродного волокна (большой),カーボンL,碳复合材料方块 L,碳複合材料方塊 L,,,Μπλοκ Συνθετικού Άνθρακα L,,Khối tổng hợp carbon L
PlasticThinLarge,Carbon Fiber Thin Block (Large),Kohlenstoffverbund-Block L (dünn),Bloc composite de carbone L (fin),Blocco di Carbonio Composito L (sottile),Bloque compuesto de carbono L (delgado),,Blocos de Compostos de Carbono L (fino),"Blok z włókna węglowego, płaski L",Тонкий блок из углеродного волокна (большой),カーボンL(薄型),碳复合材料方块 L (薄型),碳複合材料方塊 L (薄型),,,Μπλοκ Συνθετικού Άνθρακα L (λεπτό),,Khối tổng hợp carbon L (mỏng)
PlasticFullSmall,Carbon Fiber Block (Small),Kohlenstoffverbund-Block S,Bloc composite de carbone S,Blocco di Carbonio Composito S,Bloque compuesto de carbono S,,Blocos de Compostos de Carbono S,Blok z włókna węglowego S,Блок из углеродного волокна (маленький),カーボンS,碳复合材料方块 S,碳複合材料方塊 S,,,Μπλοκ Συνθετικού Άνθρακα S,,Khối tổng hợp carbon S
PlasticThinSmall,Carbon Fiber Thin Block (Small),Kohlenstoffverbund-Block S (dünn),Bloc composite de carbone S (fin),Blocco di Carbonio Composito S (sottille),Bloque compuesto de carbono S (delgado),,Blocos de Compostos de Carbono S (fino),"Blok z włókna węglowego, płaski S",Тонкий блок из углеродного волокна (маленький),カーボンS(薄型),碳复合材料方块 S (薄型),碳複合材料方塊 S (薄型),,,Μπλοκ Συνθετικού Άνθρακα S (λεπτό),,Khối tổng hợp carbon S (mỏng)
HullDestroyed,Steel Blocks (Damaged),Stahlblöcke - zerstört,Blocs acier - détruits,Blocchi di Acciaio - Distrutti,Bloques de acero - Destruido,Blocos de Aço - Destruídos,Blocos de Aço - Destruído,,Стальные блоки (повреждены),スチール - 破損,钢制方块 - 已损毁,鋼鐵方塊 - 已摧毀,강철 블록 - 파괴됨,,,Stalen blokken - Vernietigd,Khối thép - bị phá hủy
HullFull,Steel Block,Stahlblock,Bloc acier,Blocco di Acciaio,Bloque de acero,Bloco de Aço,Bloco de Aço,Blok stalowy,Стальной блок,スチール,钢制方块,鋼鐵方塊,강철 블록,,,Stalen blok,Khối thép
HullFullLarge,Steel Block (Large),Stahlblock L,Bloc acier L,Blocco di Acciaio L,Bloque de acero L,Bloco de Aço L,Bloco de Ferro G,Blok stalowy L,Стальной блок (большой),スチールL,钢制方块 L,鋼鐵大方塊,강철 블록 L,,,Stalen blok L,Khối thép L
HullFullLargeDestroyed,Steel Block (Large) - Damaged,Stahlblock L - zerstört,Bloc acier L - détruit,Blocco di Acciaio L - Distrutto,Bloques de acero L - Destruido,Bloco de Aço - Destruído,Bloco de Aço G - Destruído,Blok stalowy L - zniszczony,Стальной блок (большой) — поврежден,スチールL - 破損,钢制方块 L - 已损毁,鋼鐵大方塊 - 已摧毀,강철 블록 L - 파괴됨,,,Stalen blok L - Vernietigd,Khối thép L - Đã phá hủy
HullFullSmall,Steel Block (Small),Stahlblock S,Bloc acier S,Blocco di Acciaio S,Bloque de acero S,Bloco de Aço S,Bloco de Aço P,Blok stalowy S,Стальной блок (маленький),スチールS,钢制方块 S,鋼鐵小方塊,강철 블록 S,,,Stalen blok S,Khối thép S
HullFullSmallDestroyed,Steel Block (Small) - Damaged,Stahlblock S - zerstört,Bloc acier S - détruit,Blocco di Acciaio S - Distrutto,Bloques de acero S - Destruido,Bloco de Aço S - Destruído,Blocos de Aço P - Destruído,Blok stalowy S - zniszczony,Стальной блок (маленький) — поврежден,スチールS - 破損,钢制方块 S - 已损毁,鋼鐵小方塊 - 已摧毀,강철 블록 S - 파괴됨,,,Stalen blok S - Vernietigd,Khối thép S - Bị phá hủy
HullLargeBlocks,Steel Blocks (Large),Stahlblöcke L,Blocs acier L,Blocchi di Acciaio L,Bloques de acero L,Blocos de Aço L,Blocos de Aço G,,Стальные блоки (большие),スチールL,钢制方块 L,鋼鐵大方塊,강철 블록 L,,,Stalen blokken L,Khối thép L
HullLargeDestroyedBlocks,Steel Blocks (Large) - Damaged,Stahlblöcke L - zerstört,Blocs acier L - détruits,Blocchi di Acciaio L - Distrutti,Bloques de acero L - Destruido,Blocos de Aço L - Destruídos,Blocos de Aço G - Destruído,,Стальные блоки (большие) — повреждены,スチールL - 破損,钢制方块 L - 已损毁,鋼鐵大方塊 - 已摧毀,강철 블록 L - 파괴됨,,,Stalen blokken L - Vernietigd,Khối thép L - Bị phá hủy
HullSmallBlocks,Steel Blocks (Small),Stahlblöcke S,Blocs acier S,Blocchi di Acciaio S,Bloque de acero S,Blocos de Aço S,Blocos de Aço P,,Стальные блоки (маленькие),スチールS,钢制方块 S,鋼鐵小方塊,강철 블록 S,,,Stalen blokken S,Khối thép S
HullSmallDestroyedBlocks,Steel Blocks (Small) - Damaged,Stahlblöcke S - zerstört,Blocs acier S - détruits,Blocchi di Acciaio S - Distrutti,Bloques de acero S - Destruido,Blocos de Aço S - Destruídos,Blocos de Aço P - Destruído,,Стальные блоки (маленькие) — повреждены,スチールS - 破損,钢制方块 S - 已损毁,鋼鐵小方塊 - 已摧毀,강철 블록 S - 파괴됨,,,Stalen blokken S - Vernietigd,Khối thép S - Bị phá hủy
HullThin,Steel Block,Stahlblock,Bloc acier,Blocco di Acciaio,Bloque de acero,Bloco de Aço,Bloco de Aço,Blok stalowy,Стальной блок,スチール,钢制方块,鋼鐵方塊,강철 블록,,,Stalen blok,Khối thép
HullThinLarge,Steel Block (Large),Stahlblock L,Bloc acier L,Blocco di Acciaio L,Bloque de acero L,Bloco de Aço L,Bloco de Ferro G,Blok stalowy L,Стальной блок (большой),スチールL,钢制方块 L,鋼鐵大方塊,강철 블록 L,,,Stalen blok L,Khối thép L
HullThinLargeBlocks,Steel Thin Blocks (Large),Stahlblöcke L (dünn),Bocs acier L (fin),Blocchi di Acciaio L (Sottile),Bloques de acero (L) (fino),Blocos de Aço L (fino),Blocos de Aço G (fino),"Bloki stalowe, płaskie L (grupa)",Стальные тонкие блоки (большие),スチールL (薄型),钢制方块 L (薄型),鋼鐵大方塊（薄）,강철 블록 L(얇음),,,Stalen blokken L (Smal),Khối thép L (mỏng)
HullThinLargeDestroyed,Steel Thin Blocks (Large) - Damaged,Stahlblöcke L (dünn) - zerstört,Blocs acier L (fin) - détruits,Blocchi di Acciaio L (Sottile) - Distrutti,Bloques de acero (L) - Destruido,Blocos de Aço (fino) - Destruídos,Blocos de Aço G (fino) - Destruído,"Bloki stalowe, płaskie, zniszczone L (grupa)",Стальные тонкие блоки (большие) — повреждены,薄型スチールL(破損),钢制方块 L (薄型)- 已损毁,鋼鐵大方塊（薄） - 已摧毀,강철 블록 L(얇음) - 파괴됨,,,Stalen blokken L (Smal) - Vernietigd,Khối thép L (mỏng) - Đã phá hủy
HullThinSmall,Steel Block (Small),Stahlblock S,Bloc acier S,Blocco di Acciaio S,Bloque de acero S,Bloco de Aço S,Bloco de Aço P,Blok stalowy S,Стальной блок (маленький),スチールS,钢制方块 S,鋼鐵小方塊,강철 블록 S,,,Stalen blok S,Khối thép S
HullThinSmallBlocks,Steel Thin Blocks (Small),Stahlblöcke S (dünn),Blocs acier S (fin),Blocchi di Acciaio S (Sottile),Bloque de acero (S) (fino),Blocos de Aço S (fino),Blocos de Aço P (fino),"Bloki stalowe, płaskie S (grupa)",Стальные тонкие блоки (маленькие),スチールS (薄型),钢制方块 S (薄型),鋼鐵小方塊（薄）,강철 블록 S(얇음),,,Stalen blokken S (Smal),Khối thép S (mỏng)
HullThinSmallDestroyed,Steel Thin Blocks (Small) - Damaged,Stahlblöcke S (dünn) - zerstört,Blocs acier S (fin) - détruits,Blocchi di Acciaio S (Sottile) - Distrutti,Bloques de acero (S) (fino) - Destruido,Blocos de Aço (fino) - Destruídos,Blocos de Aço P (fino) - Destruído,"Bloki stalowe, płaskie, zniszczone S (grupa)",Стальные тонкие блоки (маленькие) — повреждены,スチールL(薄型) - 破損,钢制方块 S (薄型)- 已损毁,鋼鐵小方塊（薄） - 已摧毀,강철 블록 S(얇음) - 파괴됨,,,Stalen blokken S (Smal) - Vernietigd,Khối thép S (mỏng) - Đã phá hủy
TrussLargeBlocks,Truss Blocks (Large),Gerüstblöcke L,Blocs treillis L,Travi L,Bloques pesados L,Blocos de Suporte L,Bloco de Treliças G,,Ферменные блоки (большие),トラスL,大型桁架方块组,大方塊構架,트러스 블록 L,,,Truss blokken L,Khối giàn L
TrussSmallBlocks,Truss Blocks (Small),Gerüstblöcke S,Blocs treillis S,Travi S,Bloques pesados S,Blocos de Suporte S,Bloco de Treliças P,,Ферменные блоки (маленькие),トラスS,小型桁架方块组,小方塊構架,트러스 블록 S,,,Truss blokken S,Khối giàn S
WindowArmoredLargeBlocks,Armored Windows (Large),Verstärkte Fenster L,Fenêtres blindées L,Finestre Rinforzate L,Ventanas Blindadas L,Blocos Janela Blindada L,Bloco de Janela Reforçada G,,Бронированные окна (большие),強化ウィンドL,加固大型玻璃窗方块组,裝甲窗大方塊,장갑 창 블록 L,,,Bepantserde raam blokken L,Cửa sổ L bọc thép
WindowArmoredSmallBlocks,Armored Windows (Small),Verstärkte Fenster S,Fenêtres blindées S,Finestre Rinforzate S,Ventanas Blindadas S,Blocos Janela Blindada S,Bloco de Janela Reforçada P,,Бронированные окна (маленькие),強化ウィンドS,加固小型玻璃窗方块组,裝甲窗小方塊,장갑 창 블록 S,,,Bepantserde raam blokken S,Cửa sổ S bọc thép
WindowLargeBlocks,Windows (Large),Fenster L,Fenêtres L,Finestre L,Ventanas L,Blocos Janela L,Bloco de Janela G,,Окна (большие),ラージウィンドL,大型玻璃窗方块组,窗大方塊,창 블록 L,,,Raam blokken L,Cửa sổ L
WindowShutterLargeBlocks,Shutter Windows (Large),Fenster mit Blende L,Fenêtres àjourées L,Finestre con Griglia L,Ventanas con Persiana L,Blocos Janela Escura L,Bloco de Persiana G,,Ставни на окнах (большие),シャッターウィンドL,大型百叶窗方块组,百葉窗大方塊,셔터 창 블록 L,,,Sluiter raam blokken L,Màn trập Cửa sổ L
WindowShutterSmallBlocks,Shutter Windows (Small),Fenster mit Blende S,Fenêtres ajourées S,Finestre con Griglia S,Ventanas con Persiana S,Blocos Janela Escura S,Bloco de Persiana P,,Ставни на окнах (маленькие),シャッターウィンドS,小型百叶窗方块组,百葉窗小方塊,셔터 창 블록 S,,,Sluiter raam blokken S,Màn trập Cửa sổ S
WindowSmallBlocks,Windows (Small),Fenster S,Fenêtres S,Finestre S,Ventanas S,Blocos Janela S,Bloco de Janela P,,Окна (маленькие),ウィンドS,小型玻璃窗方块组,窗小方塊,창 블록 S,,,Raam blokken S,Cửa sổ S
WingBlocks,Wings,Flügel,Ailes,Ali,Alas,Blocos Asa,Blocos de Asa,,Крылья,ウィング,机翼方块组,機翼方塊,윙 블록,,,Vleugel blokken,Cánh
WoodBlocks,Wooden Blocks,Holzblöcke,Blocs bois,Blocchi di Legno,Bloques de Madera,Blocos Madeira,Blocos de Madeira,,Деревянные блоки,ウッド,木质方块组,木方塊,나무 블록,,,Houten blokken,Khối gỗ
WoodFull,Wooden Block,Holzblock,Bloc bois,Blocco di Legno,Bloque de Madera,Bloco Madeira,Bloco de Madeira,Blok drewniany,Деревянный блок,ウッド,木质方块,木方塊,나무 블록,,,Houten blok,Khối gỗ
WoodThin,Wooden Thin Block,Holzblock,Bloc bois ,Blocco di Legno,Bloque de Madera,Bloco Madeira,Bloco de Madeira,Blok drewniany,Деревянный тонкий блок,ウッド,木质方块,木方塊,나무 블록,,,Houten blok,Khối gõ
WoodThinBlocks,Wooden Thin Blocks,Holzblöcke (dünn),Blocs bois (fin),Blocchi di Legno (Sottile),Bloques de Madera(delgado),Blocos Madeira (fina),Blocos de Madeira (fino),Blok drewniany (wąski),Деревянные тонкие блоки,ウッド (薄型),木质方块 (薄型),木方塊（薄）,나무 블록(얇음),,,Houten blok (smal),Khối gỗ (mỏng)
AkuaFernDeco,Fern,Farn,Fougère,Felce,Helecho,Feto,Samambaia,Paproć,Папоротник,シダ,蕨菜,蕨草,양치류,,,Varen,Cây dương xỉ
AlienPalmTreeDeco,Fire Palm Tree,Feuerpalme,Palmier Alien,Palma di Fuoco,Palmera de fuego,Palmeira Fogo,Palmeira de Fogo,Palma ogniowa,Огненная пальма,ファイアーパーム,火棕榈树,火掌樹,야자 나무,,,Vuur palmboom,Cây cọ lửa
AlienTentacleDeco,Tentacle Tree,Tentakelbaum,Tentacule Alien,Albero Tentacolo,Árbol Tentacular,Árvore Tentáculo,Árvore-Tentáculo,Drzewo mackowe,Щупальца Дерево,テンタクルツリー,触手树,觸手樹,촉수 나무,,,Tentakelboom,Cây xúc tu
Antenna,Tri-Beam Antenna,Dreistrahlantenne,Antenne à trois faisceaux,Antenna a tre raggi,Antena de triple haz,Antena 06 (Deco),Antena 06 (Deco),Antena 06 (deko),Трехлучевая антенна,アンテナⅥ(Deco),天线 06 (装饰),天線06（裝飾）,안테나 06(데코),,,Antenne 06 (Deco),Ăng-ten 06 (TTri)
Antenna01,Shortwave Transmitter,Kurzwellensender,Émetteur à ondes courtes,Trasmettitore a onde corte,Transmisor de onda corta,Antena 01 (Deco),Antena 01 (Deco),Antena 01 (deko),Коротковолновый передатчик,アンテナⅠ(Deco),天线 01 (装饰),天線01（裝飾）,안테나 01(데코),,,Antenne 01 (Deco),Ăng-ten 01 (Trang trí)
Antenna02,Wideband Receiver,Breitbandempfänger,Récepteur large bande,Ricevitore a banda larga,Receptor de banda ancha,Antena 02 (Deco),Antena 02 (Deco),Antena 02 (deko),Широкополосный приемник,アンテナⅡ(Deco),天线 02 (装饰),天線02（裝飾）,안테나 02(데코),,,Antenne 02 (Deco),Ăng-ten 02 (TTri)
Antenna03,Radar Receiver,Radarempfänger,Récepteur Radar,Ricevitore Radar,Receptor de radar,Antena 03 (Deco),Antena 03 (Deco),Antena 03 (deko),Радарный приемник,アンテナⅢ(Deco),天线 03 (装饰),天線03（裝飾）,안테나 03(데코),,,Antenne 03 (Deco),Ăng-ten 03 (TTri)
Antenna04,Antenna Spike,Antennenspitze,Antenne Spike,Antenna Spike,Punta de antena,Antena 04 (Deco),Antena 04 (Deco),Antena 04 (deko),Антенный шип,アンテナⅣ(Deco),天线 04 (装饰),天線04（裝飾）,안테나 04(데코),,,Antenne 04 (Deco),Ăng-ten 04 (TTri)
Antenna05,Radar Tracking Beacon,Radar Tracking Beacon,Balise de suivi radar,Monitoraggio radar,Baliza de seguimiento de radar,Antena 05 (Deco),Antena 05 (Deco),Antena 05 (deko),Радиолокационный маяк слежения,アンテナⅤ(Deco),天线 05 (装饰),天線05（裝飾）,안테나 05(데코),,,Antenne 05 (Deco),Ăng-ten 05 (Trang trí)
AntennaBlocks,Antennas,Antennen,Antennes,Antenne,Antenas,Antenas (Deco),Antenas (Deco),Anteny (grupa),Антенны,アンテナ(Deco),天线组 (装饰),天線（裝飾）,안테나(데코),,,Antennes (Deco),Ăng-ten (TTri)
